well_position	broad_sample	mmoles_per_liter	solvent
L13	BRD-K13510101-001-05-5	5.0	DMSO
L14	BRD-A68579503-001-05-0	5.0	DMSO
L15	BRD-K91979367-001-05-6	5.0	DMSO
L16	BRD-K31444829-001-05-6	5.0	DMSO
L17	BRD-K34842511-001-05-1	5.0	DMSO
L18	BRD-K02234826-001-06-7	5.0	DMSO
L19	BRD-K42395056-001-04-4	5.0	DMSO
L20	BRD-K07723978-001-06-0	5.0	DMSO
L21	BRD-K83579280-001-05-8	5.0	DMSO
L22	BRD-A80220789-001-05-0	5.0	DMSO
L23			DMSO
L24			DMSO
M01			DMSO
M02			DMSO
M03	BRD-K35907578-001-05-1	5.0	DMSO
M04	BRD-K74936979-001-06-5	5.0	DMSO
M05	BRD-K21056537-001-05-3	5.0	DMSO
M06	BRD-K01804914-001-05-3	5.0	DMSO
M07	BRD-K89523629-001-05-0	5.0	DMSO
M08	BRD-A45390777-001-05-9	5.0	DMSO
M09	BRD-K65500369-001-05-0	5.0	DMSO
M10	BRD-K77958737-001-05-1	5.0	DMSO
M11	BRD-K19401842-001-04-8	5.0	DMSO
M12	BRD-K33960484-001-05-5	5.0	DMSO
M13	BRD-A39869104-001-05-4	5.0	DMSO
M14	BRD-K05522035-001-05-1	5.0	DMSO
M15	BRD-K20406181-001-05-0	5.0	DMSO
M16	BRD-K83749296-001-07-5	5.0	DMSO
M17	BRD-K44536345-001-05-9	5.0	DMSO
M18	BRD-K14442800-001-06-2	5.0	DMSO
M19	BRD-K56979584-001-05-6	5.0	DMSO
M20	BRD-K27286000-001-05-8	5.0	DMSO
M21	BRD-K50874768-001-05-3	5.0	DMSO
M22	BRD-A78995875-001-06-4	5.0	DMSO
M23			DMSO
M24			DMSO
N01			DMSO
N02			DMSO
N03	BRD-K91045668-001-07-8	5.0	DMSO
N04	BRD-A96767816-001-07-5	5.0	DMSO
N05	BRD-K44144588-001-16-5	5.0	DMSO
N06	BRD-A54431720-001-05-7	5.0	DMSO
N07	BRD-K91427846-001-07-3	5.0	DMSO
N08	BRD-K87226979-001-06-6	5.0	DMSO
N09	BRD-K45845354-001-05-1	5.0	DMSO
N10	BRD-K33413612-001-05-0	5.0	DMSO
N11	BRD-K21240553-001-05-2	5.0	DMSO
N12	BRD-K81524053-001-06-9	5.0	DMSO
N13	BRD-K93059446-001-05-0	5.0	DMSO
N14	BRD-K55145427-001-05-6	5.0	DMSO
N15	BRD-K85147224-001-05-1	5.0	DMSO
N16	BRD-K47562470-001-07-5	5.0	DMSO
N17	BRD-A35442115-001-06-9	5.0	DMSO
N18	BRD-K93401341-001-05-0	5.0	DMSO
N19	BRD-A08703841-001-05-0	5.0	DMSO
